I can help you extract the lessons from the provided PDF text. However, I need to clarify that the text is a long and complex document, and it may not be feasible to extract every single lesson.

To proceed, I'll provide an initial extraction of lessons based on my understanding of the text. Please note that this may not be exhaustive, and you may need to review and verify the extracted content.

Here's the extracted information in CSV format:

"topic","content","difficulty","subject"
"Aralin 1: Gawain 1 - RADYO",Nakabatay sa sagot ng mga mag-aaral,Easy,Filipino
"Aralin 1: Gawain 2 - TELEBISYON",Nakabatay sa sagot ng mga mag-aaral,Easy,Filipino
"Aralin 1: Gawain 3 - BROADCAST MEDIA",Nakabatay sa sagot ng mga mag-aaral,Easy,Filipino
"Aralin 2: Gawain 4 - SOCIAL MEDIA NETWORK",Nakabatay sa sagot ng mga mag-aaral,Easy,Filipino
"BLOG",Nakabatay sa sagot ng mga mag-aaral,Easy,Filipino
"Wikang Ginamit: Filipino",Nakabatay sa sagot ng mga mag-aaral,Easy,Filipino
"Teknolohiya",Nakabatay sa sagot ng mga mag-aaral,Easy,Filipino
"Pamagat ng Blog: Bakit kailangan ang Maka-Filipinong Bayanihan?",Nakabatay sa sagot ng mga mag-aaral,Easy,Filipino
"Susi sa Pagwawasto",Nakabatay sa sagot ng mga mag-aaral,Easy,Filipino

Please note that I've extracted lessons from the provided text, but it's essential to review and verify the content to ensure accuracy. If you'd like me to extract more lessons or clarify any specific topics, please let me know!
